,Hor_eye,Ver_eye,Time
182,-8.4616713200486,-27.0623545128646,74815.0631885
183,-8.4616713200486,-27.0623545128646,74815.0689661
184,-8.4616713200486,-27.0623545128646,74815.0747479
185,-8.4616713200486,-27.0623545128646,74815.0805249
186,-8.4616713200486,-27.0623545128646,74815.0863024
187,-8.4616713200486,-27.0623545128646,74815.0920794
188,-8.4616713200486,-27.0623545128646,74815.0978557
189,-8.4616713200486,-27.0623545128646,74815.1036381
190,-8.4616713200486,-27.0623545128646,74815.1094151
191,-0.379554672783781,-1.15253027250007,74815.115192
192,-0.742158606830374,-0.681329384003459,74815.1209696
193,-0.545264172745248,-0.408633644619731,74815.1267514
194,3.6560825367964,1.24021722157005,74815.1325283
195,2.70686158996677,2.468194563111,74815.1383059
196,2.37883293497594,2.45621602244766,74815.1440828
197,2.05008614155801,2.84368643619849,74815.1498598
198,1.87219856644816,2.74721174121631,74815.1556422
199,1.66963325983565,2.99938663650583,74815.1614192
200,1.61387476360257,3.00325280427896,74815.1671961
201,0.742765077502135,3.06736172242328,74815.1729737
202,0.76698448419865,2.82346850309657,74815.1787555
203,-0.443399284602779,2.57446834425732,74815.1845324
204,-0.167098274831154,2.6029682924383,74815.1903094
205,-1.68461190666784,3.31327178928928,74815.1960863
206,-2.46808273584074,3.93445847373087,74815.2018633
207,-1.80774214840137,2.40290702993162,74815.2076457
208,1.27426288462215,1.55912783565643,74815.2134227
209,1.8045235093749,1.22843639127484,74815.2191996
210,1.66544221599045,0.572269540638734,74815.2249772
211,2.15423150350007,0.858897687939663,74815.230759
212,2.38358997424864,0.817245309880868,74815.2365359
213,2.06381881659723,0.746359354482901,74815.2423135
214,2.09274911799007,0.522616594885539,74815.2480904
215,2.04233192478384,-0.179788369507779,74815.2538723
216,1.96469915590432,-0.984064339723509,74815.2596498
217,1.9774572557117,-1.73640010103074,74815.2654268
218,2.07930960823579,-2.06384129615386,74815.2712037
219,2.01435771180687,-2.29883147553441,74815.2769813
220,1.89884356249851,-2.15312634959994,74815.2827625
221,1.95374476019257,-2.25815021045302,74815.2885394
222,2.15694959887053,-2.14452497549082,74815.294317
223,2.24904610687753,-2.06361817626677,74815.3000939
224,2.17475669742235,-1.98262073615044,74815.3058757
225,2.07601303366775,-1.78284713711049,74815.3116533
226,2.11313229595021,-1.74075169345233,74815.3174302
227,2.27880748511772,-1.69225523102932,74815.3232072
228,2.29727095085774,-1.64316106419469,74815.3289847
229,2.47172740996821,-1.66740852830945,74815.3347666
230,2.62138954423555,-1.67737345422519,74815.3405435
231,2.62452196013504,-1.70000480959055,74815.3463211
232,2.76708983749491,-1.50720945921015,74815.352098
233,2.87378525461945,-1.47994501063583,74815.3578798
234,3.00175692330989,-1.40884146555406,74815.3636574
235,3.10040539752538,-1.30069768071558,74815.3694343
236,3.19791799398469,-1.17913730198414,74815.3752107
237,3.31403928993892,-1.06933180462385,74815.3809882
238,3.38493546437,-0.896932542216919,74815.3867701
239,3.57857506184469,-0.940715068009549,74815.392547
240,3.57784779261774,-0.757007191700205,74815.3983246
241,3.63259445043102,-0.697482677023553,74815.4041015
242,3.77860039378637,-0.53852402411435,74815.4098833
243,3.85879657054038,-0.404882639647656,74815.4156609
244,4.05341965281282,-0.288333511030291,74815.4214378
245,4.05324454012704,-0.327071063655122,74815.4272148
246,4.20647215208268,-0.196649225182459,74815.4329972
247,4.31503764716062,-0.279829722702831,74815.4387742
248,4.34517740185608,-0.333262616882076,74815.4445511
249,4.36238493735789,-0.379578684657575,74815.4503287
250,4.4741695353095,-0.420494525398393,74815.4561056
251,4.54165729926619,-0.418878662741988,74815.4618874
252,4.72048665456806,-0.483617451174803,74815.4676644
253,4.86969830852339,-0.567121458601103,74815.4734413
254,4.87007309614011,-0.610030089070176,74815.4792182
255,5.05154373698404,-0.614108060136122,74815.4850007
256,5.08084462355155,-0.728106271116708,74815.4907776
257,5.11624304301791,-0.701215537166638,74815.4965546
258,5.2051382865976,-0.834436724757103,74815.5023321
259,5.22171288262329,-0.80461578356223,74815.5081091
260,5.32444248241382,-0.865000223536956,74815.5138909
261,5.35377007394357,-0.745591598348951,74815.5196685
262,5.3880150234979,-0.828916685052784,74815.5254454
263,5.53047252245506,-0.741886192653409,74815.5312224
264,5.49344894965504,-0.873211622082114,74815.5370048
265,5.55980223203488,-0.974364932625025,74815.5427817
266,5.61116814388809,-0.948831940777569,74815.5485587
267,5.66787752463073,-1.02692843894146,74815.5543362
268,5.74048304490524,-1.06148958110608,74815.5601126
269,5.88135927953065,-0.878753106997263,74815.5658944
270,5.76776885941997,-0.962524050009234,74815.571672
